rerun_id,num_decoders_used,pair_id,euclidean_distance,geodesic_distance
5,3,17,4.4168314933776855,25.05210147045428
5,3,18,3.160351514816284,15.861471343899952
5,3,19,4.641585350036621,21.71688039952123
5,3,20,5.262000560760498,23.58955622910142
5,3,21,2.3534934520721436,14.879976353780355
5,3,22,5.352375030517578,28.914238760946137
5,3,23,2.546273708343506,22.14335052362468
5,3,24,1.8061171770095825,15.849098040311514
6,1,0,5.205405235290527,23.541613805480843
6,1,1,3.102804660797119,18.17311350438772
6,1,2,5.98809289932251,30.467617166440522
6,1,3,5.051047325134277,23.910823449378395
6,1,4,2.8644533157348633,17.317367144978604
6,1,5,7.196707725524902,30.05286175244745
6,1,6,1.079131841659546,6.443052397298654
6,1,7,0.5550127625465393,1.0792161147131143
6,1,8,2.3520209789276123,5.044804103892962
6,1,9,3.439110279083252,17.52385981574256
6,1,10,2.4400506019592285,11.866803040595933
6,1,11,1.2017711400985718,5.982838246610669
6,1,12,4.039505958557129,16.891602437606572
6,1,13,8.582990646362305,32.04032455299006
6,1,14,2.411095142364502,14.517252688107057
6,1,15,4.515691757202148,11.384455848258076
6,1,16,0.20097047090530396,0.8597733354721024
6,1,17,5.353893280029297,24.79429900569068
6,1,18,3.4515771865844727,6.13534295426946
6,1,19,3.356954336166382,18.908769524784162
6,1,20,6.481382846832275,28.698552813578424
6,1,21,1.824026107788086,9.277989286751636
6,1,22,6.863789081573486,31.51994636802177
6,1,23,3.397132396697998,20.21221563531994
6,1,24,2.615177869796753,10.147720652246747
6,2,0,5.205405235290527,27.696454049111257
6,2,1,3.102804660797119,21.68472069952496
6,2,2,5.98809289932251,32.98765379250811
6,2,3,5.051047325134277,26.721443120852165
6,2,4,2.8644533157348633,20.627468631855997
6,2,5,7.196707725524902,31.77207455737959
6,2,6,1.079131841659546,13.16020262866568
6,2,7,0.5550127625465393,9.567153895218011
6,2,8,2.3520209789276123,15.276437824712431
6,2,9,3.439110279083252,21.454200400941303
6,2,10,2.4400506019592285,17.799734152190922
6,2,11,1.2017711400985718,13.003842299519834
6,2,12,4.039505958557129,20.598874463193145
6,2,13,8.582990646362305,33.68783155854926
6,2,14,2.411095142364502,19.574297872644916
6,2,15,4.515691757202148,16.09884533266041
6,2,16,0.20097047090530396,13.176850706115252
6,2,17,5.353893280029297,30.315936902451778
6,2,18,3.4515771865844727,12.230188659560305
